time,50km/S1/100mh/200ohm,50km/S1/100mh/5ohm,50km/S1/160mh/0.01ohm,50km/S1/160mh/200ohm,50km/S1/160mh/25ohm,50km/S1/160mh/5ohm,50km/S1/40mh/200ohm,550km/S1/100mh/5ohm,550km/S1/160mh/0.01ohm,550km/S1/160mh/200ohm,550km/S1/160mh/25ohm,550km/S1/160mh/5ohm,700km/S1/160mh/0.01ohm,700km/S1/160mh/200ohm,700km/S1/160mh/25ohm,700km/S1/160mh/5ohm
2.521,0.427883540201,0.541497105944,0.812204944325,0.477630449938,0.72478666315,0.794857155372,0.477630449938,0.337158216491,0.328379644431,0.415754223988,0.365624059431,0.333300701037,0.167539312571,0.408148588157,0.281282795783,0.204646542328
2.522,0.362984651888,0.232309283214,0.580374128368,0.433164919032,0.553061779393,0.577093672542,0.433164919032,0.290975651347,0.320402077566,0.385373605073,0.369262345895,0.333352793246,0.120602631693,0.36050588215,0.255399500736,0.167890121572
2.523,0.31697887007,-0.0779473934095,0.279198571843,0.380710964867,0.327326697949,0.291232026331,0.380710964867,0.214247797115,0.281596016904,0.354379521549,0.340646829032,0.299717812912,0.117242879464,0.329262654207,0.254801508863,0.16274005732
2.524,0.306164714454,-0.298764319535,-0.0161123066406,0.330158229684,0.130832940071,0.0259247684592,0.330158229684,0.0582754723143,0.185543218549,0.326253891626,0.284744878581,0.22419668108,0.129650927994,0.321702869205,0.256069376756,0.167465246515
2.525,0.306569013295,-0.414650969401,-0.247473353986,0.300963465384,-0.0128428292932,-0.186860942989,0.300963465384,-0.126813293291,0.0262477775675,0.313275758151,0.201563236479,0.0820850241089,0.0959043844108,0.322616478168,0.234781256923,0.133405545773
2.526,0.306975695084,-0.460013248568,-0.446117282162,0.296041875581,-0.144678168923,-0.370063536139,0.296041875581,-0.259045009041,-0.16258602835,0.30928114003,0.109651250574,-0.0903313186256,-0.000791778986088,0.321585317419,0.180613707225,0.0415448131601
2.527,0.305368168451,-0.475581068458,-0.572752463963,0.295946985197,-0.217385220891,-0.483721035139,0.295946985197,-0.321758301937,-0.308055997807,0.310377450673,0.010772506717,-0.229353808748,-0.111988486761,0.319115492297,0.115419755038,-0.0626491086541
2.528,0.300409874478,-0.496712119742,-0.634283532863,0.294029228246,-0.243860816046,-0.536517409282,0.294029228246,-0.315390748051,-0.376102457625,0.310952780768,-0.0525251353413,-0.299279648937,-0.186418854007,0.318176006174,0.0619020700727,-0.124832852563
2.529,0.294407442413,-0.516327198814,-0.658099479381,0.290402243918,-0.247613411182,-0.555108521527,0.290402243918,-0.269961775716,-0.369483560187,0.310249679722,-0.0756392306716,-0.301070639487,-0.200876756008,0.319224223478,0.0364796265685,-0.139358521474
2.53,0.292328104,-0.516285573327,-0.672778716861,0.285674542744,-0.253990912293,-0.567399164955,0.285674542744,-0.245478223949,-0.32304923389,0.307191397165,-0.0726347195023,-0.263881930167,-0.164977569691,0.320368507536,0.0426984658625,-0.113198831057
2.531,0.291099567461,-0.491024298575,-0.669966678976,0.28201120898,-0.251637638377,-0.562081810944,0.28201120898,-0.248732683808,-0.294424858005,0.303423820202,-0.066170452302,-0.238672056266,-0.103762727556,0.320840486831,0.0670209535822,-0.0617768684438
2.532,0.290558197612,-0.468375843495,-0.647548859468,0.281025925297,-0.252870745194,-0.549966544447,0.281025925297,-0.250445046496,-0.312443620941,0.300426078368,-0.0674417006395,-0.248196456209,-0.0620557172744,0.317707771056,0.0920210101814,-0.024044046528
2.533,0.288494390737,-0.434723106394,-0.608093842961,0.282510007907,-0.228624314736,-0.514070319176,0.282510007907,-0.22289644892,-0.334761349324,0.298544472929,-0.0585143586696,-0.262166214395,-0.0646374443557,0.310659321062,0.0982093182704,-0.0234656356144
2.534,0.284572176892,-0.39190861142,-0.543010724872,0.283020414314,-0.177350068647,-0.451901655691,0.283020414314,-0.14637770312,-0.344415751034,0.296232728629,-0.0415469031776,-0.269303974607,-0.0846650166436,0.302491442533,0.0983997872735,-0.0392676376813
2.535,0.282577291233,-0.391199487961,-0.472041988925,0.281548785082,-0.146337386414,-0.391052024263,0.281548785082,-0.022256057467,-0.273845501085,0.295142343762,-0.000627120477461,-0.211547044282,-0.0456301419582,0.29678106773,0.111681116717,-0.0118988000852
2.536,0.280933490092,-0.393805240682,-0.430362245125,0.27947479136,-0.120285372547,-0.356663603765,0.27947479136,0.137331770519,-0.140121601356,0.29450025055,0.057817907439,-0.100180698177,0.0637686474251,0.296108430185,0.161287623271,0.0801145569022
2.537,0.277895867436,-0.389981591229,-0.398868699385,0.275587278927,-0.0945299752711,-0.324497695952,0.275587278927,0.246460308398,0.0215710469125,0.293930508666,0.131743092409,0.037168385074,0.20730342172,0.297577385337,0.224621935047,0.203034288562
2.538,0.276012099853,-0.360718454523,-0.375920908396,0.272169806101,-0.0959064033918,-0.305833125385,0.272169806101,0.277830897872,0.178238153773,0.293078288591,0.183944223005,0.172866074377,0.317984161192,0.299303499153,0.268280725433,0.293775931743
2.539,0.273584379328,-0.310190025452,-0.36139935883,0.269373418672,-0.0928609498018,-0.296469741894,0.269373418672,0.292155878678,0.267853913125,0.292160823472,0.227910116566,0.253017304916,0.392863261388,0.299935372961,0.283113522005,0.355827298609
2.54,0.270248186068,-0.235821203388,-0.326085802894,0.267510645124,-0.071768038832,-0.265883834314,0.267510645124,0.300955129425,0.307738811572,0.29020366531,0.254020321241,0.289343704455,0.471146609701,0.29880868898,0.299398439624,0.42334530299
2.541,0.266940858104,-0.141564634574,-0.285135756551,0.267010761159,-0.0362399440843,-0.218783053066,0.267010761159,0.335475430266,0.327542251811,0.28837000053,0.264919903848,0.302586095085,0.523216090652,0.296319103665,0.313097759513,0.46882631414
2.542,0.26190982967,-0.0335220748146,-0.204730627245,0.264761084403,0.00155089159262,-0.152528817261,0.264761084403,0.397032086044,0.368155031833,0.28540154667,0.274067799262,0.327393041935,0.556079469385,0.292731774604,0.321890230377,0.494263203126
2.543,0.257928407535,0.104675747765,-0.110728517191,0.26147112459,0.0420869785185,-0.0761902328174,0.26147112459,0.433628895337,0.414932237603,0.282970350205,0.283880607045,0.366030143049,0.596119467696,0.290332209934,0.332131485044,0.522220449786
