time,50km/S1/100mh/200ohm,50km/S1/100mh/5ohm,50km/S1/160mh/0.01ohm,50km/S1/160mh/200ohm,50km/S1/160mh/25ohm,50km/S1/160mh/5ohm,50km/S1/40mh/200ohm,550km/S1/100mh/5ohm,550km/S1/160mh/0.01ohm,550km/S1/160mh/200ohm,550km/S1/160mh/25ohm,550km/S1/160ohm/5ohm,700km/S1/160mh/0.01ohm,700km/S1/160mh/200ohm,700km/S1/160mh/25ohm,700km/S1/160mh/5ohm
2.534,63.8113898697,-6.51714991771,-0.529693468658,58.702074374,-16.8254086046,-6.25816709246,58.702074374,64.428575823,80.044668495,58.9159495801,11.6241537015,60.0657136369,78.66708021,61.926822,19.8797242,64.2735599
2.535,63.742928577,-6.95355531681,2.13979460087,60.1847456227,-14.6280783615,-3.63155610867,60.1847456227,57.7487023436,74.4848046924,61.0076327114,21.7716712676,59.7269341514,100.804734,63.4434024,36.08095443,83.88346429
2.536,63.2371419804,-5.64629689006,2.45361579908,61.3389862905,-17.1669936007,-3.78076580507,61.3389862905,62.0346468224,61.2922815391,63.2051401031,27.5231096797,52.018933146,127.6319551,63.98906412,54.41363827,108.8206154
2.537,61.9716521213,-7.92156265482,-0.811037267216,61.1533482904,-15.1615659486,-5.78975630288,61.1533482904,63.7927730819,57.2830585015,64.833939323,34.2137234007,50.3502755159,127.6625393,64.27709238,60.16987376,111.6309444
2.538,60.5566032174,-4.69045270273,0.333816603016,59.9732069556,-14.0337476733,-4.73858367649,59.9732069556,54.4193754773,62.6562870231,65.3190197395,36.3884140897,55.7608679793,99.81173408,64.66793726,49.98526264,87.01929672
2.539,58.5541883359,-2.83444211695,2.57550125689,58.3042137113,-14.8722740375,-3.13554765627,58.3042137113,44.9619179267,68.6653093799,64.0265768107,37.9768988538,60.8953473256,93.61904003,63.7441682,44.94957538,81.45583333
2.54,55.8007279916,-0.172937019907,3.14576758515,56.4122949115,-15.0174336804,-2.19905433625,56.4122949115,30.8063358311,69.6874127281,60.8374080809,34.1762482434,60.5145649985,84.62045675,62.6644838,42.47278926,76.20231343
2.541,52.4803161356,1.36133109076,1.6526672562,54.5414149315,-12.3061553596,-2.20172316575,54.5414149315,10.073933631,59.1013197895,56.4871828956,24.9861724549,49.6422007562,72.73514264,60.47519796,38.77172229,66.72743896
2.542,48.7626763073,2.4060646712,3.27166465762,52.1399096443,-9.81134734875,-0.0298177490516,52.1399096443,2.6357963833,42.0076204855,51.6569512417,14.5321830165,33.3988122785,57.70182666,56.43093064,29.16024482,52.28752711
2.543,45.583033654,7.65175277124,6.53329676901,49.2109039116,-5.77839964566,3.60818869789,49.2109039116,5.70655288167,20.4774000233,47.1867025339,6.7774761341,16.2945371264,39.70620402,52.469496,19.29231026,36.77073755
2.544,43.1165680908,5.50816778229,8.0474040998,45.8675613105,-3.12076645914,4.54916572368,45.8675613105,9.56815150062,7.00226449986,43.5824211055,1.88981637415,6.80262422365,20.91799557,47.19159567,12.02442099,21.64100608
2.545,40.8232148567,2.74648211981,7.64129354453,42.5223102511,-0.646192229941,5.07334283527,42.5223102511,16.2431678854,3.03452747507,40.1026841517,0.69091660432,5.91250686274,-2.246091458,40.7227054,4.039282889,4.054098098
2.546,39.1220684085,5.48460985785,4.91746861955,39.6845570613,1.59819499473,3.48062408983,39.6845570613,22.5184880969,6.38251761711,36.4628770175,3.33047085397,10.7211489241,-24.02493615,35.17873816,-1.376201897,-14.15503091
2.547,37.2815952289,7.86440572562,4.05705215483,37.2986722193,3.08691862939,3.69033706645,37.2986722193,22.3816606097,11.2989178075,32.9177397739,6.02023849677,14.5021441419,-39.4260697,29.09668543,-4.641632217,-26.34066336
2.548,35.3956259969,8.52371796227,4.91906945297,35.3280467164,3.80552346663,5.17742506678,35.3280467164,18.7188014092,16.120339521,29.1586525082,8.2279347948,18.0598958232,-48.04283166,24.19088796,-7.736201547,-33.68464459
2.549,33.843849329,7.70580484729,6.68655907123,33.5254120181,5.82093623666,7.99407826026,33.5254120181,12.9800183981,16.0227397414,25.5595060775,9.461634957,17.469738463,-50.22750685,21.61451741,-7.727792603,-35.64249
2.55,32.3149772822,7.46211009533,6.79082677695,31.8145224274,7.79195859015,8.98430173299,31.8145224274,7.028397894,9.99919316548,22.9865645557,9.9108202217,12.1708006742,-56.74274177,19.88266435,-8.938329332,-40.50386151
2.551,31.219265851,7.19490789601,5.75970375094,30.1276218914,9.04565718065,8.94142776722,30.1276218914,1.81602963828,1.11146612361,21.5868570525,9.74605435255,5.21141269494,-60.67554866,19.85809949,-10.82610804,-43.23401126
2.552,30.6214754855,6.02661307108,4.43644959037,28.6591821287,10.1471687208,8.18248034814,28.6591821287,-3.42234870528,-8.36777635433,21.0760899734,9.89123312439,-1.27737854096,-59.55774883,20.66436703,-10.02061956,-43.27641596
2.553,29.8651868439,5.52261676464,2.94638507518,27.4116068789,10.4082448673,7.32383945904,27.4116068789,-5.24119010744,-15.4412979031,21.3416873831,10.3797678098,-5.34820424852,-50.06513338,20.77108831,-9.702510118,-33.79118131
2.554,29.3065990978,6.44982816522,1.37170458404,26.728738896,10.6366014005,7.69550769376,26.728738896,-5.83260399754,-16.5932071446,22.0943409408,10.2384323295,-6.53738995917,-37.09820861,21.57271553,-7.56980844,-25.26618521
2.555,28.8127512861,5.9343162322,1.62310681742,26.489962586,10.8768502588,7.09354416406,26.489962586,-12.0497648057,-14.5786626083,22.9636294134,8.84011010772,-5.93913229626,-25.83360154,22.25795061,-5.525155165,-16.42804861
2.556,28.020310417,4.3661604575,0.784413033354,26.1548556714,11.3441735093,5.94857484639,26.1548556714,-21.9373800582,-12.2295182486,23.7322676935,7.21065839658,-4.89494708431,-18.05660156,22.3389237,-3.359154297,-9.876371711
2.557,27.3337188972,3.79437757902,-0.0713683129336,25.7372960649,11.0550497453,5.46769648034,25.7372960649,-26.7911245911,-10.1275992559,24.5652662613,5.54445438766,-3.30440236796,-7.284989504,23.92788933,0.821486122,-1.969638655
2.558,26.6067916917,3.60836463808,-1.28652538373,25.3500588334,10.4243560828,4.40098772293,25.3500588334,-29.7736699663,-14.8445077985,25.5569570363,3.21260108154,-7.45414115267,1.687980692,25.10857727,4.24846693,4.180629134
2.559,25.6453570843,3.03727635859,-1.26592313526,24.6832844089,10.4020340054,3.52490075099,24.6832844089,-29.5592440379,-25.3621661635,26.229353777,-0.167661071947,-16.0610410243,7.106125937,26.18812528,6.562274232,6.491808184
